Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)",Charter Number,Charter Funding Type,IRC,Low Grade,High Grade,"Total 
Enrollment
(Grades 9-12)","CALPADS Unduplicated 
Pupil Count
(CUPC)
(Grades 9-12)","CALPADS Unduplicated Pupil Percentage (CUPP)
(Grades 9-12)","CUPP 
75% or more
(Grades 9-12)
(Y/N)","CALPADS Fall 1 
Certification Status 
(Y/N)"
2021-2022,19,75309,6115679,Los Angeles,Acton-Agua Dulce Unified,Meadowlark Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,4,1,0,0.00%,N,Y
2021-2022,15,75168,0000001,Kern,El Tejon Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.00%,N,Y
2021-2022,40,68841,0000001,San Luis Obispo,Templeton Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.00%,N,Y
2021-2022,30,73924,0000000,Orange,Los Alamitos Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K,12,17,0,0.00%,N,Y
2021-2022,32,66969,0000000,Plumas,Plumas Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K,Adult,1,0,0.00%,N,Y
2021-2022,37,68346,0000000,San Diego,San Dieguito Union High,District Office,High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,12,6,0,0.00%,N,Y
2021-2022,41,68890,0000001,San Mateo,Cabrillo Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,0,0.00%,N,Y
2021-2022,39,68650,0000001,San Joaquin,Ripon Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,0,0.00%,N,Y
2021-2022,49,75358,0000001,Sonoma,Windsor Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,0,0.00%,N,Y
2021-2022,18,10181,6069934,Lassen,Lassen County Office of Education,Lassen County Special Education,County Office of Education (COE),Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,K,12,4,0,0.00%,N,Y
2021-2022,19,75333,0000000,Los Angeles,Manhattan Beach Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P,12,2,0,0.00%,N,Y
2021-2022,24,75366,0000000,Merced,Delhi Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P,12,1,0,0.00%,N,Y
2021-2022,37,73551,0000000,San Diego,Carlsbad Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K,Adult,1,0,0.00%,N,Y
2021-2022,43,69484,0000001,Santa Clara,Gilroy Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,0,0.00%,N,Y
