Academic Year,County Code,District Code,School Code,County Name,District Name,School Name
2021-2022,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community
2021-2022,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court
2021-2022,01,10017,0130625,Alameda,Alameda County Office of Education,Alternatives in Action
2021-2022,01,10017,0137448,Alameda,Alameda County Office of Education,Aurum Preparatory Academy
2021-2022,01,10017,0123968,Alameda,Alameda County Office of Education,Community School for Creative Education
2021-2022,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay
2021-2022,01,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy
2021-2022,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology
2021-2022,01,10017,0138867,Alameda,Alameda County Office of Education,Hayward Collegiate Charter
2021-2022,01,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy
2021-2022,01,10017,0131581,Alameda,Alameda County Office of Education,Oakland Unity Middle
2021-2022,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy
2021-2022,01,10017,0125567,Alameda,Alameda County Office of Education,Urban Montessori Charter
2021-2022,01,10017,0124172,Alameda,Alameda County Office of Education,Yu Ming Charter
2021-2022,01,31609,0131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind
2021-2022,01,31617,0131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont
2021-2022,01,61119,0130609,Alameda,Alameda Unified,Alameda Community Learning Center
2021-2022,01,61119,0130229,Alameda,Alameda Unified,Alameda High
2021-2022,01,61119,0106401,Alameda,Alameda Unified,Alameda Science and Technology Institute
2021-2022,01,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary
2021-2022,01,61119,6110779,Alameda,Alameda Unified,Bay Farm
2021-2022,01,61119,6090013,Alameda,Alameda Unified,Edison Elementary
2021-2022,01,61119,0132142,Alameda,Alameda Unified,Encinal Junior/Senior High
2021-2022,01,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary
2021-2022,01,61119,6090039,Alameda,Alameda Unified,Franklin Elementary
2021-2022,01,61119,0134304,Alameda,Alameda Unified,Island High (Continuation)
2021-2022,01,61119,6090054,Alameda,Alameda Unified,Lincoln Middle
2021-2022,01,61119,6090047,Alameda,Alameda Unified,Love Elementary
2021-2022,01,61119,0139220,Alameda,Alameda Unified,Maya Lin
2021-2022,01,61119,0119222,Alameda,Alameda Unified,Nea Community Learning Center
2021-2022,01,61119,0000001,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools"
2021-2022,01,61119,0111765,Alameda,Alameda Unified,Ruby Bridges Elementary
2021-2022,01,61119,0122085,Alameda,Alameda Unified,The Academy of Alameda
2021-2022,01,61119,0131805,Alameda,Alameda Unified,The Academy of Alameda Elementary
2021-2022,01,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle
2021-2022,01,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary
2021-2022,01,61127,0130450,Alameda,Albany City Unified,Albany High
2021-2022,01,61127,6090161,Alameda,Albany City Unified,Albany Middle
2021-2022,01,61127,6090146,Alameda,Albany City Unified,Cornell Elementary
2021-2022,01,61127,0130294,Alameda,Albany City Unified,MacGregor High (Continuation)
2021-2022,01,61127,6095376,Alameda,Albany City Unified,Marin Elementary
2021-2022,01,61127,0000001,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools"
2021-2022,01,61127,6116222,Alameda,Albany City Unified,Ocean View Elementary
2021-2022,01,61143,6097729,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier
